,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,rnd,pick,completions_total,attempts_total,passing_yards_total,pass_td_total,ints_thrown_total,rush_attempts_total,rush_yards_total,rush_td_total,receptions_total,rec_yards_total,rec_td_total,rush_rec_plays_total,tot_rush_rec_yards,total__rush_rec_tds,college_score_total,completions_avg,attempts_avg,completion_percentage,passing_yards_avg,pass_yards_per_attempt,adjusted_pass_yards_per_attempt,pass_td_avg,ints_thrown_avg,passer_rating,rush_attempts_avg,rush_yards_avg,avg_rush_yards,rush_td_avg,receptions_avg,rec_yards_avg,avg_rec_yards,rec_td_avg,rush_rec_plays_avg,avg_rush_rec_yards,college_score_avg,nfl_score,position_FB,position_QB,position_RB,position_TE,position_WR
0,110.0,187.96,209.0,4.59,39.5,0.0,121.0,7.22,100.0,4.0,127.0,0.0,0.0,0.0,0.0,0.0,91.0,182.0,0.0,1660.0,24828.0,184.0,1751.0,25010.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.8,0.0,4.0,58.0,12.8,0.0,5.0,11.0,0.0,0.0,False,False,False,False,True
1,91.0,187.96,241.0,4.6,0.0,0.0,0.0,100.0,100.0,3.0,85.0,0.0,0.0,0.0,0.0,0.0,3622.0,16626.0,202.0,584.0,6521.0,18.0,4206.0,23147.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,46.0,4.45,0.0,2.0,13.0,7.1,0.0,14.0,4.9,0.0,0.0,False,False,True,False,False
2,121.0,185.42,217.0,4.58,35.0,0.0,117.0,6.74,4.06,6.0,197.0,235.0,446.0,3243.0,38.0,9.0,387.0,2006.0,0.0,619.0,9247.0,45.0,1006.0,11253.0,45.0,0.0,3.0,15.0,62.5,40.0,8.3,10.8,0.0,0.0,173.6,1.0,17.0,4.2,0.0,4.0,77.0,14.3,0.0,3.0,14.0,0.0,0.0,False,False,False,False,True
3,47.0,185.42,216.0,4.72,33.5,0.0,114.0,7.35,4.33,2.0,54.0,2.0,23.0,66.0,0.0,0.0,118.0,723.0,0.0,971.0,14838.0,200.0,1089.0,15561.0,200.0,621.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,5.0,60.0,12.7,1.0,5.0,12.7,28.6,0.0,False,False,False,False,True
4,23.0,190.5,234.0,4.61,35.5,0.0,117.0,7.2,4.02,1.0,19.0,4243.0,8736.0,54588.0,408.0,303.0,1908.0,-2608.0,52.0,21.0,183.0,4.0,1929.0,-2425.0,56.0,668.5600000000001,16.0,31.0,46.9,193.0,6.1,5.7,1.0,1.0,110.3,6.0,-8.0,-1.3,0.0,1.0,7.0,7.0,0.0,6.0,-1.0,33.120000000000005,0.0,False,True,False,False,False
5,32.0,190.5,220.0,4.46,0.0,0.0,0.0,100.0,100.0,3.0,93.0,0.0,0.0,0.0,0.0,0.0,105310.0,499952.0,7686.0,23791.0,184603.0,2581.0,129101.0,684555.0,10267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,65.0,4.2,1.0,2.0,14.0,7.7,0.0,7.0,5.5,0.0,0.0,False,False,True,False,False
6,107.0,182.88,197.0,4.51,42.5,0.0,126.0,6.96,4.16,3.0,71.0,0.0,0.0,0.0,0.0,0.0,256.0,2230.0,13.0,2458.0,32242.0,193.0,2714.0,34472.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,12.0,8.0,0.0,7.0,104.0,12.4,1.0,7.0,13.0,0.0,0.0,False,False,False,False,True
7,94.0,193.04,223.0,4.34,38.0,0.0,127.0,6.73,4.26,2.0,60.0,0.0,0.0,0.0,0.0,0.0,146.0,1039.0,21.0,1126.0,17206.0,101.0,1272.0,18245.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,64.0,14.3,0.0,4.0,13.8,0.0,0.0,False,False,False,False,True
8,66.0,190.5,257.0,4.65,37.5,0.0,123.0,100.0,100.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.0,11684.0,75.0,723.0,11684.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,14.0,0.0,3.0,14.0,0.0,0.0,False,False,False,True,False
9,41.0,193.04,254.0,4.63,35.5,17.0,118.0,7.47,4.53,5.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False
10,181.0,180.34,186.0,4.42,36.0,0.0,122.0,6.76,3.99,3.0,74.0,23.0,65.0,380.0,0.0,0.0,113.0,317.0,1.0,1779.0,31693.0,246.0,1892.0,32010.0,247.0,1628.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,7.0,114.0,15.9,1.0,8.0,15.5,22.9,0.0,False,False,False,False,True
11,159.0,180.34,235.0,4.56,38.5,21.0,116.0,7.25,4.37,5.0,165.0,0.0,0.0,0.0,0.0,0.0,3007.0,13578.0,312.0,14659.0,182440.0,1137.0,17666.0,196018.0,1449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,0.0,2.0,26.0,11.0,0.0,3.0,9.0,0.0,1.7000000000000002,True,False,False,False,False
12,89.0,195.57999999999998,208.0,4.7,0.0,0.0,0.0,100.0,100.0,7.0,241.0,5856.0,10353.0,85064.0,724.0,236.0,448.0,-1038.0,8.0,0.0,0.0,0.0,448.0,-1038.0,8.0,0.0,16.0,29.0,58.6,235.0,8.5,9.6,2.0,0.0,155.4,1.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,False,True,False,False,False
13,32.0,185.42,233.0,4.71,32.5,21.0,113.0,7.18,4.29,7.0,236.0,0.0,0.0,0.0,0.0,0.0,262.0,1665.0,61.0,390.0,3174.0,0.0,652.0,4839.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.5,0.0,1.0,12.0,7.0,0.0,2.0,7.0,0.0,0.0,True,False,False,False,False
14,160.0,180.34,196.0,4.52,34.0,0.0,122.0,7.41,4.35,6.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
15,178.0,185.42,219.0,4.35,0.0,27.0,137.0,100.0,100.0,3.0,96.0,0.0,0.0,0.0,0.0,0.0,1940.0,9644.0,74.0,122.0,1521.0,0.0,2062.0,11165.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,56.5,4.8,1.0,2.0,41.0,10.3,0.0,9.0,4.949999999999999,0.0,0.0,False,False,True,False,False
16,25.0,187.96,213.0,4.52,35.5,0.0,116.0,7.05,4.16,5.0,167.0,0.0,0.0,0.0,0.0,0.0,91.0,496.0,31.0,1152.0,19450.0,184.0,1243.0,19946.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,62.0,17.2,1.0,5.0,15.9,0.0,0.0,False,False,False,False,True
17,99.0,193.04,217.0,4.45,0.0,0.0,0.0,100.0,100.0,5.0,143.0,67.0,106.0,1171.0,51.0,0.0,77.0,114.0,0.0,1907.0,26155.0,196.0,1984.0,26269.0,196.0,43.39999999999999,1.0,1.0,100.0,6.0,6.0,26.0,1.0,0.0,480.4,1.0,2.0,2.0,0.0,5.5,69.0,13.55,0.0,6.0,13.1,6.199999999999999,0.0,False,False,False,False,True
18,3.0,182.88,223.0,4.65,0.0,22.0,0.0,100.0,100.0,7.0,235.0,0.0,0.0,0.0,0.0,0.0,3371.0,18053.0,157.0,43.0,257.0,0.0,3414.0,18310.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,71.0,5.3,1.0,1.0,7.0,7.0,0.0,14.0,5.3,0.0,0.0,False,False,True,False,False
19,47.0,185.42,205.0,4.44,34.5,0.0,116.0,7.54,4.43,7.0,231.0,0.0,0.0,0.0,0.0,0.0,35.0,157.0,0.0,763.0,12836.0,152.0,798.0,12993.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,62.0,15.7,0.0,3.0,15.7,0.0,0.0,False,False,False,False,True
20,125.0,170.18,195.0,4.48,38.0,21.0,123.0,100.0,4.08,4.0,108.0,0.0,0.0,0.0,0.0,0.0,6090.0,34851.0,336.0,1236.0,10204.0,53.0,7326.0,45055.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,90.0,5.1,1.0,3.0,27.5,7.0,0.0,21.0,6.1,0.0,0.0,False,False,True,False,False
21,98.0,180.34,232.0,4.59,32.0,29.0,113.0,7.73,4.68,4.0,121.0,0.0,0.0,0.0,0.0,0.0,1355.0,6434.0,37.0,301.0,3995.0,4.0,1656.0,10429.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,3.7,0.0,1.0,18.0,16.0,0.0,6.0,6.7,0.0,0.0,True,False,False,False,False
22,43.0,185.42,217.0,5.06,0.0,0.0,0.0,100.0,100.0,1.0,22.0,7061.0,11040.0,87467.0,659.0,288.0,1217.0,-1528.0,89.0,22.0,354.0,0.0,1239.0,-1174.0,89.0,684.02,21.0,33.0,63.6,302.0,7.4,8.0,2.0,1.0,145.8,4.0,-4.0,-1.8,0.0,1.0,21.0,21.0,0.0,4.0,-1.8,37.22,0.0,False,True,False,False,False
